Model,Outliers,Scaling,Feature Set,Accuracy
Logistic Regression,Without Outliers,No Scaling,All Features,0.6625725008529512
Random Forest,Without Outliers,No Scaling,All Features,0.7454793585806891
SVM,Without Outliers,No Scaling,All Features,0.526100307062436
Gradient Boosting,Without Outliers,No Scaling,All Features,0.7632207437734562
XGBoost,Without Outliers,No Scaling,All Features,0.7410440122824974
Logistic Regression,Without Outliers,No Scaling,No Married and Divorced,0.6605254179460934
Random Forest,Without Outliers,No Scaling,No Married and Divorced,0.7516206073012623
SVM,Without Outliers,No Scaling,No Married and Divorced,0.526100307062436
Gradient Boosting,Without Outliers,No Scaling,No Married and Divorced,0.757079495052883
XGBoost,Without Outliers,No Scaling,No Married and Divorced,0.72978505629478
Logistic Regression,Without Outliers,No Scaling,No Job Satisfaction,0.6622313203684749
Random Forest,Without Outliers,No Scaling,No Job Satisfaction,0.7420675537359263
SVM,Without Outliers,No Scaling,No Job Satisfaction,0.526100307062436
Gradient Boosting,Without Outliers,No Scaling,No Job Satisfaction,0.7526441487546912
XGBoost,Without Outliers,No Scaling,No Job Satisfaction,0.7400204708290685
Logistic Regression,Without Outliers,No Scaling,No Job Role,0.66359604230638
Random Forest,Without Outliers,No Scaling,No Job Role,0.7543500511770727
SVM,Without Outliers,No Scaling,No Job Role,0.526100307062436
Gradient Boosting,Without Outliers,No Scaling,No Job Role,0.7601501194131696
XGBoost,Without Outliers,No Scaling,No Job Role,0.7407028317980211
Logistic Regression,Without Outliers,No Scaling,No Monthly Income,0.7477845944103613
Random Forest,Without Outliers,No Scaling,No Monthly Income,0.7508520790729379
SVM,Without Outliers,No Scaling,No Monthly Income,0.6710974778459441
Gradient Boosting,Without Outliers,No Scaling,No Monthly Income,0.7641445126107703
XGBoost,Without Outliers,No Scaling,No Monthly Income,0.7348329925017042
Logistic Regression,Without Outliers,No Scaling,No Monthly Income and Job Satisfaction,0.7508520790729379
Random Forest,Without Outliers,No Scaling,No Monthly Income and Job Satisfaction,0.7498295841854125
SVM,Without Outliers,No Scaling,No Monthly Income and Job Satisfaction,0.6707566462167689
Gradient Boosting,Without Outliers,No Scaling,No Monthly Income and Job Satisfaction,0.7678936605316974
XGBoost,Without Outliers,No Scaling,No Monthly Income and Job Satisfaction,0.7341513292433538
Logistic Regression,Without Outliers,No Scaling,Without Selection,0.7494887525562373
Random Forest,Without Outliers,No Scaling,Without Selection,0.7532379004771643
SVM,Without Outliers,No Scaling,Without Selection,0.665303340149966
Gradient Boosting,Without Outliers,No Scaling,Without Selection,0.7668711656441718
XGBoost,Without Outliers,No Scaling,Without Selection,0.734492160872529
Logistic Regression,Without Outliers,Standardization,All Features,0.7519617877857386
Random Forest,Without Outliers,Standardization,All Features,0.7447969976117366
SVM,Without Outliers,Standardization,All Features,0.7410440122824974
Gradient Boosting,Without Outliers,Standardization,All Features,0.7632207437734562
XGBoost,Without Outliers,Standardization,All Features,0.7410440122824974
Logistic Regression,Without Outliers,Standardization,No Married and Divorced,0.7482088024564995
Random Forest,Without Outliers,Standardization,No Married and Divorced,0.7505970658478335
SVM,Without Outliers,Standardization,No Married and Divorced,0.7444558171272603
Gradient Boosting,Without Outliers,Standardization,No Married and Divorced,0.757079495052883
