Model,Outliers,Scaling,Feature Set,Accuracy
Logistic Regression,With Outliers,No Scaling,All Features,0.6385906040268456
Decision Tree,With Outliers,No Scaling,All Features,0.6610738255033557
Random Forest,With Outliers,No Scaling,All Features,0.7395973154362416
SVM,With Outliers,No Scaling,All Features,0.5332214765100671
KNN,With Outliers,No Scaling,All Features,0.511744966442953
Logistic Regression,With Outliers,No Scaling,Numeric Only,0.6204697986577181
Decision Tree,With Outliers,No Scaling,Numeric Only,0.5812080536912752
Random Forest,With Outliers,No Scaling,Numeric Only,0.6778523489932886
SVM,With Outliers,No Scaling,Numeric Only,0.5332214765100671
KNN,With Outliers,No Scaling,Numeric Only,0.512751677852349
Logistic Regression,With Outliers,No Scaling,Categorical Only,0.6553691275167786
Decision Tree,With Outliers,No Scaling,Categorical Only,0.6503355704697986
Random Forest,With Outliers,No Scaling,Categorical Only,0.6493288590604027
SVM,With Outliers,No Scaling,Categorical Only,0.6560402684563759
KNN,With Outliers,No Scaling,Categorical Only,0.6117449664429531
Logistic Regression,With Outliers,No Scaling,No Married and Divorced,0.6318791946308725
Decision Tree,With Outliers,No Scaling,No Married and Divorced,0.6540268456375838
Random Forest,With Outliers,No Scaling,No Married and Divorced,0.737248322147651
SVM,With Outliers,No Scaling,No Married and Divorced,0.5332214765100671
KNN,With Outliers,No Scaling,No Married and Divorced,0.5120805369127517
Logistic Regression,With Outliers,No Scaling,No Job Satisfaction,0.6375838926174496
Decision Tree,With Outliers,No Scaling,No Job Satisfaction,0.6456375838926175
Random Forest,With Outliers,No Scaling,No Job Satisfaction,0.7251677852348993
SVM,With Outliers,No Scaling,No Job Satisfaction,0.5332214765100671
KNN,With Outliers,No Scaling,No Job Satisfaction,0.5114093959731544
Logistic Regression,With Outliers,No Scaling,No Job Role Finance,0.6385906040268456
Decision Tree,With Outliers,No Scaling,No Job Role Finance,0.6510067114093959
Random Forest,With Outliers,No Scaling,No Job Role Finance,0.7379194630872483
SVM,With Outliers,No Scaling,No Job Role Finance,0.5332214765100671
KNN,With Outliers,No Scaling,No Job Role Finance,0.5120805369127517
Logistic Regression,With Outliers,Standardization,All Features,0.7348993288590604
Decision Tree,With Outliers,Standardization,All Features,0.6600671140939597
Random Forest,With Outliers,Standardization,All Features,0.7369127516778523
SVM,With Outliers,Standardization,All Features,0.7278523489932885
KNN,With Outliers,Standardization,All Features,0.6647651006711409
